Organization Name,Organization Name URL,Headquarters Location,Industries,Website,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founded Date,Founded Date Precision,Industry Groups,Stock Symbol,Stock Symbol URL,Stock Exchange,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Investor Type,Investment Stage
JSTIDE,https://www.crunchbase.com/organization/jstide,"Wuxi Shi, Jiangsu, China","Data Management, Information Technology, Internet, Technical Support",http://www.jstide.com/,,,,,2008-09-22,day,"Data and Analytics, Information Technology, Internet Services, Other",872223,https://www.crunchbase.com/ipo/jstide-ipo--b495e8fc,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Beijing Tianli Mobile Service Integration,https://www.crunchbase.com/organization/beijing-tianli-mobile-service-integration,"Shijingshan, Beijing, China","Data Integration, Mobile, Mobile Devices",http://www.ihandy.cn/,,,,,2006-01-18,day,"Consumer Electronics, Data and Analytics, Hardware, Information Technology, Mobile, Software",300399,https://www.crunchbase.com/ipo/beijing-tianli-mobile-service-integration-ipo--31deb856,SZSE - Shenzhen Stock Exchange,,,,,,,,
Oufuyun,https://www.crunchbase.com/organization/oufuyun,"Suzhou, Jiangsu, China","Cloud Computing, Human Resources, SaaS",https://www.9191offer.com/,,,,,2005-10-14,day,"Administrative Services, Internet Services, Software",839763,https://www.crunchbase.com/ipo/oufuyun-ipo--23471eb7,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Iactive,https://www.crunchbase.com/organization/iactive-44ab,"Haidian, Beijing, China","Cloud Computing, Software, Video, Video Conferencing",http://www.iactive.com.cn/,,,,,2009-02-18,day,"Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software, Video",430224,https://www.crunchbase.com/ipo/iactive-44ab-ipo--d23c65db,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Tidemedia,https://www.crunchbase.com/organization/tidemedia,"Beijing, Beijing, China","Cloud Computing, Digital Media, Information Technology",http://www.tidemedia.com/,,,,,2013-05-08,day,"Information Technology, Internet Services, Media and Entertainment, Software",870507,https://www.crunchbase.com/ipo/tidemedia-ipo--21a54718,NEEQ - National Equities Exchange and Quotations,,,,,,,,
CrossTEK Technology,https://www.crunchbase.com/organization/crosstek-technology,"Beijing, Beijing, China","Apps, Mobile, SaaS, Software",http://www.crosstek.com.cn/,,,,,2005-07-01,day,"Apps, Mobile, Software",833954,https://www.crunchbase.com/ipo/crosstek-technology-ipo--efd6ad4c,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Rena Smart,https://www.crunchbase.com/organization/rena-smart,"Shengfeng, Anhui, China","Energy, Energy Efficiency, Software, Software Engineering",http://www.runachina.com/theme/default/defaultIndex.jsp,,,,,2008-01-01,year,"Energy, Science and Engineering, Software, Sustainability",301129,https://www.crunchbase.com/ipo/rena-smart-ipo--74c848d6,SZSE - Shenzhen Stock Exchange,1025000000,CNY,160156250,4100000000,CNY,640625000,,
Sinotech Foretell Technology,https://www.crunchbase.com/organization/sinotech-foretell-technology,"Haidian, Beijing, China","Big Data, Cloud Computing, Information Technology, Smart Cities",http://www.bjsdhd.com/,,,,,2005-04-05,day,"Data and Analytics, Information Technology, Internet Services, Real Estate, Software",871062,https://www.crunchbase.com/ipo/sinotech-foretell-technology-ipo--d6c14159,NEEQ - National Equities Exchange and Quotations,,,,,,,,
WHARTON GROUP,https://www.crunchbase.com/organization/wharton-group,"Changshahsien, Hunan, China","Data Center, Finance, Information Technology, Smart Cities",http://www.wharton831440.com,,,,,2009-04-30,day,"Financial Services, Hardware, Information Technology, Real Estate",831440,https://www.crunchbase.com/ipo/wharton-group-ipo--d29e079f,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Time Server,https://www.crunchbase.com/organization/time-server,"Karamay, Xinjiang, China","Cloud Computing, Data Center, Smart Cities",https://www.xjsxlw.com/,,,,,2012-09-24,day,"Hardware, Information Technology, Internet Services, Real Estate, Software",835157,https://www.crunchbase.com/ipo/time-server-ipo--35b68847,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Guangdiananchen,https://www.crunchbase.com/organization/guangdiananchen,"Nankai, Tianjin, China","Network Security, Security",http://www.toecsec.com,,,,,2012-07-16,day,"Information Technology, Privacy and Security",871339,https://www.crunchbase.com/ipo/guangdiananchen-ipo--3e74b9c0,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Guangdong Qizhou Technology,https://www.crunchbase.com/organization/qizhou,"Guangzhou, Guangdong, China","Consulting, Network Security, Security",http://www.7cit.com.cn/,,,,,2007-12-07,day,"Information Technology, Privacy and Security, Professional Services",835534,https://www.crunchbase.com/ipo/qizhou-ipo--d5fede11,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shenzhen Topway Video Communication,https://www.crunchbase.com/organization/shenzhen-topway-video-communication,"Shenzhen, Guangdong, China","Communication Hardware, IT Management, Network Hardware",https://www.topway.com.cn/,,,,,1995-07-18,day,"Hardware, Information Technology",002238,https://www.crunchbase.com/ipo/shenzhen-topway-video-communication-ipo--75e5902d,SZSE - Shenzhen Stock Exchange,,,,,,,,
Addsino,https://www.crunchbase.com/organization/addsino,"Haidian, Beijing, China","Electronics, Military",http://www.casic-addsino.com,,,,,1955-01-01,day,"Consumer Electronics, Government and Military, Hardware, Information Technology",000547,https://www.crunchbase.com/ipo/addsino-ipo--2eb95ffc,SZSE - Shenzhen Stock Exchange,,,,,,,,
Chuangke Jiangren,https://www.crunchbase.com/organization/chuangke-jiangren,"Xiamen, Fujian, China","Education, Technical Support, Training",http://www.ckjryy.com/,,,,,2016-02-19,day,"Education, Information Technology, Other",873399,https://www.crunchbase.com/ipo/chuangke-jiangren-ipo--f90f00c1,NEEQ - National Equities Exchange and Quotations,,,,,,,,
GUANGDONG CHANGYING TECHNOLOGY INC.,https://www.crunchbase.com/organization/guangdong-changying-technology,"Maoming, Guangdong, China","Data Integration, Enterprise Resource Planning (ERP), Enterprise Software, Management Information Systems, Software",http://www.mmcy.cn,,,,,2001-09-01,day,"Data and Analytics, Information Technology, Software",835810,https://www.crunchbase.com/ipo/guangdong-changying-technology-ipo--8eecd2a5,NEEQ - National Equities Exchange and Quotations,,,,,,,,
FROMBYTE,https://www.crunchbase.com/organization/frombyte,"Haidian, Beijing, China","Database, Information Technology",http://datahf.net,,,,,2006-12-15,day,"Data and Analytics, Information Technology, Software",833268,https://www.crunchbase.com/ipo/frombyte-ipo--01997a44,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Er Cheng San,https://www.crunchbase.com/organization/er-cheng-san,"Shenzhen, Guangdong, China","3D Printing, 3D Technology, Manufacturing",http://www.2x3x3.com/,,,,,2011-08-21,day,"Hardware, Manufacturing, Software",871206,https://www.crunchbase.com/ipo/er-cheng-san-ipo--f8c7862b,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Zhangshang Tong,https://www.crunchbase.com/organization/zhangshang-tong,"Haidian, Beijing, China","Cloud Computing, Internet, Wireless",http://www.zhangshangtong.com,,,,,2000-03-01,day,"Hardware, Internet Services, Mobile, Software",430093,https://www.crunchbase.com/ipo/zhangshang-tong-ipo--6fa3b741,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Ifdoo Education,https://www.crunchbase.com/organization/ifdoo-education,"Beijing, Beijing, China","Cloud Computing, E-Learning, Education",http://www.huixueyun.com/,,,,,2011-01-04,day,"Education, Internet Services, Software",831850,https://www.crunchbase.com/ipo/ifdoo-education-ipo--008d4952,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Xide Electronic Technology,https://www.crunchbase.com/organization/xide-electronic-technology,"Xian Shi, Shaanxi, China","Electronics, Manufacturing, Military",http://www.xaxddz.com/,,,,,2010-10-10,day,"Consumer Electronics, Government and Military, Hardware, Information Technology, Manufacturing",833477,https://www.crunchbase.com/ipo/xide-electronic-technology-ipo--95dde344,NEEQ - National Equities Exchange and Quotations,,,,,,,,
SUNWE,https://www.crunchbase.com/organization/sunwe,"Xiamen, Fujian, China","Data Center, Information Technology, Manufacturing",http://www.china-sunwe.com/,,,,,2004-10-29,day,"Hardware, Information Technology, Manufacturing",838070,https://www.crunchbase.com/ipo/sunwe-ipo--a00d8635,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Tianjian Gufen,https://www.crunchbase.com/organization/tianjian-gufen,"Hangzhou, Zhejiang, China","Cloud Data Services, Information Technology, Web Hosting",http://www.latj.net/,,,,,2003-11-24,day,"Information Technology, Internet Services",833397,https://www.crunchbase.com/ipo/tianjian-gufen-ipo--ec888341,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Hopshine,https://www.crunchbase.com/organization/hopshine,"Hefei, Anhui, China","Analytics, Big Data, Cloud Computing, Event Promotion, Smart Cities",http://www.hb-sx.net/,,,,,2007-07-05,day,"Data and Analytics, Events, Internet Services, Media and Entertainment, Real Estate, Software",430494,https://www.crunchbase.com/ipo/hopshine-ipo--611218e8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
But'one,https://www.crunchbase.com/organization/but-one,"Changan, Shaanxi, China","Developer Platform, Education",http://www.butone.com,,,,,1994-01-01,day,"Education, Software",600455,https://www.crunchbase.com/ipo/but-one-ipo--40d5c9c6,SSE - Shanghai Stock Exchange,,,,,,,,
Sanyi Shidai,https://www.crunchbase.com/organization/sanyi-shidai,"Changping, Beijing, China","Service Industry, Simulation, Software",http://www.3etimes.com/,,,,,2001-11-12,day,"Other, Software",430255,https://www.crunchbase.com/ipo/sanyi-shidai-ipo--4cd7cd9d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shener Keji,https://www.crunchbase.com/organization/shener-keji,"Nanshanqu, Guangdong, China","E-Learning, EdTech, Education",http://www.shenerjiaoyu.com,,,,,2010-08-13,day,"Education, Software",835019,https://www.crunchbase.com/ipo/shener-keji-ipo--79ec33e1,NEEQ - National Equities Exchange and Quotations,,,,,,,,
mingdabeta.com,https://www.crunchbase.com/organization/mingdabeta-com,"Haidian, Beijing, China","Big Data, Cloud Computing, Information Services",http://www.mingdabeta.com/,,,,,2012-05-09,day,"Data and Analytics, Information Technology, Internet Services, Software",871496,https://www.crunchbase.com/ipo/mingdabeta-com-ipo--39443389,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Zhaoda Keji,https://www.crunchbase.com/organization/zhaoda-keji,"Guangzhou, Guangdong, China","Cloud Computing, Information Technology, Internet",http://www.51educity.com/,,,,,2007-06-01,day,"Information Technology, Internet Services, Software",838444,https://www.crunchbase.com/ipo/zhaoda-keji-ipo--18512055,NEEQ - National Equities Exchange and Quotations,,,,,,,,
infol,https://www.crunchbase.com/organization/infol-2170,"Nanjing, Jiangsu, China","Cloud Computing, Information Technology, Software",http://www.infol.cn/,,,,,1986-01-01,day,"Information Technology, Internet Services, Software",834939,https://www.crunchbase.com/ipo/infol-2170-ipo--1674f001,NEEQ - National Equities Exchange and Quotations,,,,,,,,
sunsharp,https://www.crunchbase.com/organization/sunsharp,"Chengdu Shi, Sichuan, China","Big Data, Data Integration, Service Industry",http://www.sunsharp.cn/,,,,,2011-07-13,day,"Data and Analytics, Information Technology, Other, Software",836177,https://www.crunchbase.com/ipo/sunsharp-ipo--db123578,NEEQ - National Equities Exchange and Quotations,,,,,,,,
LANTAIYUAN,https://www.crunchbase.com/organization/lantaiyuan,"Shenzhen, Guangdong, China","Enterprise Resource Planning (ERP), Transportation",http://www.lantaiyuan.com/,,,,,2002-05-22,day,"Software, Transportation",430449,https://www.crunchbase.com/ipo/lantaiyuan-ipo--76f7b959,NEEQ - National Equities Exchange and Quotations,,,,,,,,
AUAIS,https://www.crunchbase.com/organization/auais,"Jiangning, Jiangsu, China","Cloud Computing, Internet of Things, Smart Home, Software",http://www.auais.com,,,,,2009-04-22,day,"Consumer Electronics, Internet Services, Real Estate, Software",833963,https://www.crunchbase.com/ipo/auais-ipo--0a881f28,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Tianfang Tech,https://www.crunchbase.com/organization/tianfang-tech,"Nankai, Tianjin, China","Software, Software Engineering, Web Design",http://www.tftech.cn,,,,,2002-07-15,day,"Design, Science and Engineering, Software",430228,https://www.crunchbase.com/ipo/tianfang-tech-ipo--00779c0d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Rongzhitong,https://www.crunchbase.com/organization/rongzhitong,"Haidian, Beijing, China","Apps, Information Technology, Web Development",http://www.rongzhitong.com/,,,,,2008-06-06,day,"Apps, Information Technology, Software",430169,https://www.crunchbase.com/ipo/rongzhitong-ipo--a10ed614,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Pingzhi Dongfang,https://www.crunchbase.com/organization/pingzhi-dongfang,"Haidian, Beijing, China","Cloud Computing, Industrial, Intelligent Systems",http://www.pzdf.com,,,,,2001-02-01,day,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Manufacturing, Science and Engineering, Software",834985,https://www.crunchbase.com/ipo/pingzhi-dongfang-ipo--9315ad14,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Tianqin Shengchuang,https://www.crunchbase.com/organization/tianqin-shengchuang,"Hefei, Anhui, China","Big Data, Cloud Computing, Information Technology",http://www.tqscsoft.com/,,,,,2008-11-12,day,"Data and Analytics, Information Technology, Internet Services, Software",838986,https://www.crunchbase.com/ipo/tianqin-shengchuang-ipo--e8e1cdc9,NEEQ - National Equities Exchange and Quotations,,,,,,,,
OPS,https://www.crunchbase.com/organization/ops-9643,"Jiangyin, Jiangsu, China","Automotive, Manufacturing, Military",http://www.jyops.com/,,,,,2001-06-20,day,"Government and Military, Information Technology, Manufacturing, Transportation",836234,https://www.crunchbase.com/ipo/ops-9643-ipo--2e35838e,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Kingtone Wireless,https://www.crunchbase.com/organization/kingtone-wireless,"Xian, Hunan, China","CRM, Information Technology, Software",http://en.kingtoneinfo.com,,,,,2001-01-01,year,"Information Technology, Sales and Marketing, Software",KONE,https://www.crunchbase.com/ipo/kingtone-wireless-ipo--09e8695b,NASDAQ,,,,,,,,
Liangjiang Communications,https://www.crunchbase.com/organization/liangjiang-communications,"Shanghai, Shanghai, China","Big Data, Network Security, Telecommunications",http://www.liangjiang.com/,45620100,CNY,6940655,2,2002-02-08,day,"Data and Analytics, Hardware, Information Technology, Privacy and Security",838903,https://www.crunchbase.com/ipo/liangjiang-communications-ipo--d66f7898,NEEQ - National Equities Exchange and Quotations,,,,,,,,
"Jiangsu Jun Yiwulianwang Gufen Co., Ltd.",https://www.crunchbase.com/organization/jiangsu-junyi-wulianwang-gufen,"Nanjing, Jiangsu, China","Information Technology, Internet of Things, Military, Sales",http://www.jsjunyi.com/,,,,,2010-12-03,day,"Government and Military, Information Technology, Internet Services, Sales and Marketing",833247,https://www.crunchbase.com/ipo/jiangsu-junyi-wulianwang-gufen-ipo--62ae425e,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Sunheart,https://www.crunchbase.com/organization/sunheart,"Haidian, Beijing, China","Automotive, Manufacturing, Simulation",http://www.bjxa.com/,,,,,2003-06-23,day,"Manufacturing, Software, Transportation",430196,https://www.crunchbase.com/ipo/sunheart-ipo--378211f7,NEEQ - National Equities Exchange and Quotations,,,,,,,,
DIMENSOFT,https://www.crunchbase.com/organization/dimensoft,"Nanjing, Jiangsu, China","Analytics, Big Data, Cloud Computing, Software",http://www.dimensoft.com.cn/,,,,,2010-11-29,day,"Data and Analytics, Internet Services, Software",870743,https://www.crunchbase.com/ipo/dimensoft-ipo--a77be35a,NEEQ - National Equities Exchange and Quotations,,,,,,,,
